run_utc	feed_span_h	backfill_hours	widen_band_items	widen_band_uncovered	over_window_items	over_window_uncovered
2026-08-27 09:09	300.0	168	21	0	46	0
2026-08-28 09:04	245.1	168	7	0	48	0
2026-08-29 09:04	253.8	168	16	0	46	0
2026-08-30 09:04	277.8	168	27	0	46	0
2026-08-31 02:14	295.0	168	33	0	46	0
# 2026-08-31 审计：下一行的 over_window_uncovered=5 是 INVALID（假阳性），勿读作「超期检查
# 首次抓到真丢失」。根因是 _already_covered() 先切 12 份再跳过 out_path ⟹ 当天第二次运行时
# 有效覆盖只剩 11 天，而那 5 条恰好全在被挤掉的 2026-08-19.md 里。独立核验（自建全部 56 份
# digest / 537 条规范化链接的集合）为 0 条未覆盖。已修 _recent_digests()，同分钟后的 09:06
# 那行即为修好后的读数。保留此行是因为它是当时下判断的依据。
# INVALID	2026-08-31 09:04	301.8	168	33	0	47	5
2026-08-31 09:06	301.9	168	33	0	47	0
2026-08-31 09:09	301.9	168	33	0	47	0
2026-08-31 09:11	301.9	168	33	0	47	0
2026-08-31 09:34	302.3	168	33	0	47	0
2026-09-01 09:04	298.2	168	30	0	40	0
2026-09-01 09:08	298.2	168	30	0	40	0
2026-09-02 09:04	302.6	168	30	0	40	0
2026-09-02 09:10	302.7	168	30	0	40	0
2026-09-03 03:19	234.6	168	24	0	33	0
2026-09-03 09:04	240.4	168	23	0	34	0
2026-09-04 09:03	235.8	168	14	0	28	0
2026-09-04 09:07	235.8	168	14	0	28	0
2026-09-05 09:03	232.1	168	22	0	28	0
2026-09-05 09:06	232.1	168	22	0	28	0
2026-09-06 09:03	256.1	168	37	0	28	0
2026-09-07 09:03	280.1	168	46	0	31	0
